node,hubness,domain_layer,degree,strength
11,1,E,9,3.2697802354699537
12,4,E,9,3.7087803228389777
13,16,E,16,8.368563349322397
14,15,E,15,7.474603162860916
16,12,E,12,6.567925558845334
17,8,E,10,5.25752928346396
18,9,E,11,5.688195635899216
19,6,E,9,4.578727438997912
20,3,E,9,3.6945374269962956
21,6,E,9,4.119231900248019
22,3,E,9,3.2280793394091556
24,5,E,9,4.349084149781147
26,6,E,10,4.367917602559057
29,5,E,9,3.912866127163225
31,6,E,9,4.30055326959257
32,14,E,16,7.205761939129471
35,8,E,10,5.35196809265364
36,9,E,11,5.878945711415816
37,7,E,10,5.336500620217469
38,15,E,15,8.341490639506207
40,14,E,14,8.26722345261023
41,7,E,9,4.627460699762103
42,17,E,17,9.188781310894798
43,6,E,9,3.887264981964015
45,7,E,10,4.319526965087205
46,4,E,9,3.7593395153653226
48,9,E,10,5.51527504822206
49,8,E,9,4.9137413989904175
50,12,E,12,7.189355409923023
52,10,E,10,5.328648589366949
53,8,E,10,4.767076979499884
54,4,E,9,3.2856899917974336
55,11,E,12,5.59934187603479
56,8,E,9,4.167925313361684
57,7,E,10,4.315311602930113
58,10,E,11,5.2399339819059545
59,11,E,12,5.481770663934057
61,13,E,15,7.792081720401595
62,12,E,12,6.251257234282321
63,10,E,12,6.109135252312988
64,2,E,9,3.6361140134296352
65,8,E,10,4.729242879892191
66,13,E,13,6.952352111269227
67,6,E,10,4.842081667766252
69,11,E,11,5.772101605750173
70,10,E,10,5.418013965569623
72,10,E,12,5.5693123109696225
74,9,E,11,5.539401043094066
80,9,E,9,4.9784994017022655
81,9,E,10,4.75993026947448
82,10,E,11,6.0387358057875735
83,13,E,13,7.0542902698071694
84,9,E,10,5.0925096070358675
85,7,E,10,4.495717971158552
86,13,E,13,6.951643673180113
89,8,E,10,4.411773644389809
90,11,E,11,7.045421458214943
91,11,E,12,6.311570558942326
92,6,E,10,4.103485876571873
93,9,E,11,4.781358246607826
94,11,E,11,6.444076417356371
95,12,E,14,7.588702717580786
97,11,E,11,6.176325748236262
99,8,E,11,5.417986769168143
101,8,E,10,5.213633726314873
102,11,E,12,6.553314432165223
103,9,E,12,5.2175058743507705
104,17,E,17,9.296388402237406
105,6,E,9,5.212257599884313
106,5,E,9,4.285726705144563
108,10,E,11,5.963507307433583
109,6,E,9,3.821082592633555
110,12,E,13,7.566499911330758
111,16,E,16,8.510755218844578
113,8,E,10,4.8475780913368185
114,12,E,12,7.027508784233204
115,5,E,9,3.2594402806291236
116,6,E,9,4.110454985739589
117,8,E,10,5.004850009177164
118,8,E,9,4.280861374349024
119,11,E,12,7.411599853460235
120,9,E,10,5.089619583886444
121,9,E,12,5.767300385596641
125,12,E,13,6.35573998292965
126,5,E,9,3.997495896850916
